microbe_id,organism,identification_method,geographic_scope,beverage_name,source_id,source_title,source_year,source_url,dataset_version
HM0001,Lactobacillus plantarum,PCR-DGGE,West Bengal,Haria,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HM0002,Lactobacillus brevis,PCR-DGGE,West Bengal,Haria,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HM0003,Lysinibacillus sp.,PCR-DGGE,West Bengal,Haria,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HM0004,Lysinibacillus fusiformis,PCR-DGGE,West Bengal,Haria,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HM0005,uncultured Bacillus sp.,PCR-DGGE,West Bengal,Haria,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HM0006,Lactobacillus fermentum KKL1,culture + 16S rRNA,West Bengal,Haria,HS0006,Role of probiotic Lactobacillus fermentum KKL1 in the preparation of a rice based fermented beverage,2015,https://www.sciencedirect.com/science/article/pii/S0960852415001583,1.0.0
HM0007,Bifidobacterium sp. MKK4,culture/screening,"Bankura, West Bengal",Haria,HS0008,"Screening of health beneficial microbes with potential probiotic characteristics from the traditional rice-based alcoholic beverage, haria",2017,https://www.abs.bibl.u-szeged.hu/index.php/abs/article/view/2913,1.0.0
HM0008,Pediococcus lolli MKK21,culture/screening,"Bankura, West Bengal",Haria,HS0008,"Screening of health beneficial microbes with potential probiotic characteristics from the traditional rice-based alcoholic beverage, haria",2017,https://www.abs.bibl.u-szeged.hu/index.php/abs/article/view/2913,1.0.0
HM0009,Lactobacillus sp. MKK37,culture/screening,"Bankura, West Bengal",Haria,HS0008,"Screening of health beneficial microbes with potential probiotic characteristics from the traditional rice-based alcoholic beverage, haria",2017,https://www.abs.bibl.u-szeged.hu/index.php/abs/article/view/2913,1.0.0
HM0010,Lactobacillus fermentum TIU19,culture/characterization,West Bengal,Haria,HS0009,A novel probiotic strain of Lactobacillus fermentum TIU19 isolated from Haria beer showing both in vitro antibacterial and antibiofilm properties,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9325903/,1.0.0
HM0011,Saccharomyces cerevisiae,microbial study,"North Dinajpur, West Bengal",Haria,HS0024,"HR-LCMS based metabolite profiling, antioxidant activity and microbial study of haria from North Dinajpur",2025,https://doi.org/10.1016/j.btre.2025.102020,1.0.0
HM0012,Enterobacter sp.,microbial study,"North Dinajpur, West Bengal",Haria,HS0024,"HR-LCMS based metabolite profiling, antioxidant activity and microbial study of haria from North Dinajpur",2025,https://doi.org/10.1016/j.btre.2025.102020,1.0.0
