plant_id,source_taxon,part_used,starter,community_as_reported,geographic_scope,source_id,source_title,source_year,source_url,dataset_version
HP0001,Woodfordia fruticosa (L.) Kurz,root,Ranu,Ho,"West Singhbhum, Jharkhand",HS0002,Studies on ethnomedicinal plants used in rice-beer (Handia) by 'Ho' tribe of Jharkhand,2015,https://jbb.jharkhand.gov.in/wp-content/uploads/2024/12/46.STUDIES-ON-ETHNOMEDICINAL-PLANTS-USED-IN-RICE-BEER-Handia-BY-%E2%80%98HO-TRIBE-OF-JHARKHAND.pdf,1.0.0
HP0002,Ruellia tuberosa L.,root,Ranu,Ho,"West Singhbhum, Jharkhand",HS0002,Studies on ethnomedicinal plants used in rice-beer (Handia) by 'Ho' tribe of Jharkhand,2015,https://jbb.jharkhand.gov.in/wp-content/uploads/2024/12/46.STUDIES-ON-ETHNOMEDICINAL-PLANTS-USED-IN-RICE-BEER-Handia-BY-%E2%80%98HO-TRIBE-OF-JHARKHAND.pdf,1.0.0
HP0003,Andrographis paniculata (Burm. f.) Wall. ex Nees,root,Ranu,Ho,"West Singhbhum, Jharkhand",HS0002,Studies on ethnomedicinal plants used in rice-beer (Handia) by 'Ho' tribe of Jharkhand,2015,https://jbb.jharkhand.gov.in/wp-content/uploads/2024/12/46.STUDIES-ON-ETHNOMEDICINAL-PLANTS-USED-IN-RICE-BEER-Handia-BY-%E2%80%98HO-TRIBE-OF-JHARKHAND.pdf,1.0.0
HP0004,Dioscorea bulbifera L.,root,Ranu,Ho,"West Singhbhum, Jharkhand",HS0002,Studies on ethnomedicinal plants used in rice-beer (Handia) by 'Ho' tribe of Jharkhand,2015,https://jbb.jharkhand.gov.in/wp-content/uploads/2024/12/46.STUDIES-ON-ETHNOMEDICINAL-PLANTS-USED-IN-RICE-BEER-Handia-BY-%E2%80%98HO-TRIBE-OF-JHARKHAND.pdf,1.0.0
HP0005,Madhuca longifolia var. latifolia,bark,Ranu,Ho,"West Singhbhum, Jharkhand",HS0002,Studies on ethnomedicinal plants used in rice-beer (Handia) by 'Ho' tribe of Jharkhand,2015,https://jbb.jharkhand.gov.in/wp-content/uploads/2024/12/46.STUDIES-ON-ETHNOMEDICINAL-PLANTS-USED-IN-RICE-BEER-Handia-BY-%E2%80%98HO-TRIBE-OF-JHARKHAND.pdf,1.0.0
HP0006,Asparagus racemosus Willd.,root,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0007,Acorus calamus L.,rhizome,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0008,Ruellia tuberosa L.,root,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0009,Symplocos racemosa Roxb.,bark,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0010,Piper longum L.,dried fruit,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0011,Hemidesmus indicus R.Br.,root,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0012,Cassia senna L.,leaf,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0013,Polygala crotalarioides Buch.-Ham.,root,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0014,Ocimum basilicum L.,seed,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0015,Rubia cordifolia L.,root,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HP0016,Parmelia perlata (Huds.) Ach.,lichen,Bakhar,Santal,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
