table,field,datatype,description,required
claims,claim_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,category,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,claim_text,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,geographic_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,name_as_reported,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,source_quality,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,caution,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,claim_category,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,community_as_reported,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,evidence_directness,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,verification_status,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
claims,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
communities,community_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
communities,normalized_name,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
communities,name_as_reported,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
communities,reported_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
communities,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
communities,notes,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,contradiction_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,topic,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,record_a,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,record_b,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,relationship,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,explanation,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,status,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
contradictions,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,gap_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,gap_type,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,topic_or_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,current_jharkhand_claim_count,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,interpretation,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,caution,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
gaps,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,location_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,country,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,state,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,district,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,locality,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,precision,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,display_lat,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,display_lon,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,coordinate_basis,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
locations,notes,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,measurement_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,analyte,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,value,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,unit,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,sample_context,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,geographic_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,source_title,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,source_year,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,source_url,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
measurements,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,microbe_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,organism,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,identification_method,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,geographic_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,beverage_name,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,source_title,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,source_year,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,source_url,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
microorganisms,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
names,name_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
names,canonical_entity,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
names,name_as_reported,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
names,normalization_note,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
names,reported_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
names,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,plant_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,source_taxon,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,part_used,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,starter,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,community_as_reported,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,geographic_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,source_title,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,source_year,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,source_url,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
plants,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,record_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,record_type,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,instrument,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,authority,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,year,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,summary,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,geographic_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
policy_law,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,relation_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,subject_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,predicate,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,object_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,evidence_status,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
relations,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,source_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,authors_or_owner,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,title,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,year,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,venue,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,source_type,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,geographic_scope,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,name_as_reported,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,source_url,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,source_quality,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,doi,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,access_class,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,notes,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,dataset_version,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
sources,record_status,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
validation_rules,rule_id,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
validation_rules,domain,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
validation_rules,rule,string in CSV release,See docs/DATA_DICTIONARY.md and source-table semantics.,varies
