measurement_id,analyte,value,unit,sample_context,geographic_scope,source_id,source_title,source_year,source_url,dataset_version
HME0001,alcohol_content,2-3,% v/v,consumable Haria,West Bengal,HS0004,"Ethnic Preparation of Haria, a Rice-Based Fermented Beverage, in the Province of Lateritic West Bengal, India",2014,https://ethnobotanyjournal.org/index.php/era/article/view/811,1.0.0
HME0002,titratable_acidity,1.42,%,Haria,West Bengal,HS0004,"Ethnic Preparation of Haria, a Rice-Based Fermented Beverage, in the Province of Lateritic West Bengal, India",2014,https://ethnobotanyjournal.org/index.php/era/article/view/811,1.0.0
HME0003,lactic_acid,17.63,mg/g,Haria,West Bengal,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HME0004,acetic_acid,0.18,mg/g,Haria,West Bengal,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HME0005,phytase_activity,18.93,U/g,day 4 Haria,West Bengal,HS0007,"Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,1.0.0
HME0006,maltotetrose,26.18,µg/g,fermented Haria,West Bengal,HS0005,"Microbial, saccharifying and antioxidant properties of an Indian rice based fermented beverage",2015,https://doi.org/10.1016/j.foodchem.2014.07.042,1.0.0
HME0007,maltotriose,28.16,µg/g,fermented Haria,West Bengal,HS0005,"Microbial, saccharifying and antioxidant properties of an Indian rice based fermented beverage",2015,https://doi.org/10.1016/j.foodchem.2014.07.042,1.0.0
HME0008,maltose,26.94,µg/g,fermented Haria,West Bengal,HS0005,"Microbial, saccharifying and antioxidant properties of an Indian rice based fermented beverage",2015,https://doi.org/10.1016/j.foodchem.2014.07.042,1.0.0
HME0009,DPPH_radical_scavenging,82.54,%,day 4 fermented Haria,West Bengal,HS0005,"Microbial, saccharifying and antioxidant properties of an Indian rice based fermented beverage",2015,https://doi.org/10.1016/j.foodchem.2014.07.042,1.0.0
HME0010,carbohydrate,55,mg/100 ml,raw Handia,West Bengal,HS0011,Traditional food consumption pattern and nutritional status of Oraons: An Asian Indian indigenous community,2023,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.969264/full,1.0.0
HME0011,glucose,10.2,mg/100 ml,raw Handia,West Bengal,HS0011,Traditional food consumption pattern and nutritional status of Oraons: An Asian Indian indigenous community,2023,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.969264/full,1.0.0
HME0012,protein,162,mg/100 ml,raw Handia,West Bengal,HS0011,Traditional food consumption pattern and nutritional status of Oraons: An Asian Indian indigenous community,2023,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.969264/full,1.0.0
HME0013,fat,5.6,mg/100 ml,raw Handia,West Bengal,HS0011,Traditional food consumption pattern and nutritional status of Oraons: An Asian Indian indigenous community,2023,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.969264/full,1.0.0
HME0014,alcohol_content,11.3,%,raw Handia,West Bengal,HS0011,Traditional food consumption pattern and nutritional status of Oraons: An Asian Indian indigenous community,2023,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.969264/full,1.0.0
HME0015,ascorbic_acid,15.40,mg/100 ml,homemade Haria,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HME0016,flavonoids,36.67,mg/100 ml,homemade Haria,West Bengal,HS0019,"Ethnobotanical perspectives of Bakhar: an indigenous starter culture used to prepare traditionally fermented rice beverage in rural West Bengal, India",2022,https://link.springer.com/article/10.1186/s42779-022-00143-6,1.0.0
HME0017,HR-LCMS_compounds_detected,60,count,Haria,"North Dinajpur, West Bengal",HS0024,"HR-LCMS based metabolite profiling, antioxidant activity and microbial study of haria from North Dinajpur",2025,https://doi.org/10.1016/j.btre.2025.102020,1.0.0
HME0018,HR-LCMS_compounds_identified,37,count,Haria,"North Dinajpur, West Bengal",HS0024,"HR-LCMS based metabolite profiling, antioxidant activity and microbial study of haria from North Dinajpur",2025,https://doi.org/10.1016/j.btre.2025.102020,1.0.0
