relation_id,subject_id,predicate,object_id,source_id,evidence_status,dataset_version
HR000001,HCLM0001,SUPPORTED_BY,HS0001,HS0001,source-linked,1.0.0
HR000002,HCLM0001,REPORTS_NAME,Handia,HS0001,source-linked,1.0.0
HR000003,HCLM0001,APPLIES_TO_SCOPE,Jharkhand,HS0001,source-linked,1.0.0
HR000004,HCLM0001,HAS_CATEGORY,ethnobotany,HS0001,source-linked,1.0.0
HR000005,HCLM0002,SUPPORTED_BY,HS0001,HS0001,source-linked,1.0.0
HR000006,HCLM0002,REPORTS_NAME,Handia,HS0001,source-linked,1.0.0
HR000007,HCLM0002,APPLIES_TO_SCOPE,Jharkhand,HS0001,source-linked,1.0.0
HR000008,HCLM0002,HAS_CATEGORY,safety/adulteration,HS0001,source-linked,1.0.0
HR000009,HCLM0003,SUPPORTED_BY,HS0002,HS0002,source-linked,1.0.0
HR000010,HCLM0003,REPORTS_NAME,Handia,HS0002,source-linked,1.0.0
HR000011,HCLM0003,APPLIES_TO_SCOPE,"West Singhbhum, Jharkhand",HS0002,source-linked,1.0.0
HR000012,HCLM0003,HAS_CATEGORY,ethnobotany,HS0002,source-linked,1.0.0
HR000013,HCLM0004,SUPPORTED_BY,HS0003,HS0003,source-linked,1.0.0
HR000014,HCLM0004,REPORTS_NAME,Handia,HS0003,source-linked,1.0.0
HR000015,HCLM0004,APPLIES_TO_SCOPE,"Khunti, Jharkhand",HS0003,source-linked,1.0.0
HR000016,HCLM0004,HAS_CATEGORY,variation,HS0003,source-linked,1.0.0
HR000017,HCLM0005,SUPPORTED_BY,HS0003,HS0003,source-linked,1.0.0
HR000018,HCLM0005,REPORTS_NAME,Handia,HS0003,source-linked,1.0.0
HR000019,HCLM0005,APPLIES_TO_SCOPE,"Khunti, Jharkhand",HS0003,source-linked,1.0.0
HR000020,HCLM0005,HAS_CATEGORY,culture,HS0003,source-linked,1.0.0
HR000021,HCLM0006,SUPPORTED_BY,HS0004,HS0004,source-linked,1.0.0
HR000022,HCLM0006,REPORTS_NAME,Haria,HS0004,source-linked,1.0.0
HR000023,HCLM0006,APPLIES_TO_SCOPE,West Bengal,HS0004,source-linked,1.0.0
HR000024,HCLM0006,HAS_CATEGORY,process,HS0004,source-linked,1.0.0
HR000025,HCLM0007,SUPPORTED_BY,HS0004,HS0004,source-linked,1.0.0
HR000026,HCLM0007,REPORTS_NAME,Haria,HS0004,source-linked,1.0.0
HR000027,HCLM0007,APPLIES_TO_SCOPE,West Bengal,HS0004,source-linked,1.0.0
HR000028,HCLM0007,HAS_CATEGORY,chemistry,HS0004,source-linked,1.0.0
HR000029,HCLM0008,SUPPORTED_BY,HS0005,HS0005,source-linked,1.0.0
HR000030,HCLM0008,REPORTS_NAME,Haria,HS0005,source-linked,1.0.0
HR000031,HCLM0008,APPLIES_TO_SCOPE,West Bengal,HS0005,source-linked,1.0.0
HR000032,HCLM0008,HAS_CATEGORY,microbiology,HS0005,source-linked,1.0.0
HR000033,HCLM0009,SUPPORTED_BY,HS0005,HS0005,source-linked,1.0.0
HR000034,HCLM0009,REPORTS_NAME,Haria,HS0005,source-linked,1.0.0
HR000035,HCLM0009,APPLIES_TO_SCOPE,West Bengal,HS0005,source-linked,1.0.0
HR000036,HCLM0009,HAS_CATEGORY,chemistry,HS0005,source-linked,1.0.0
HR000037,HCLM0010,SUPPORTED_BY,HS0005,HS0005,source-linked,1.0.0
HR000038,HCLM0010,REPORTS_NAME,Haria,HS0005,source-linked,1.0.0
HR000039,HCLM0010,APPLIES_TO_SCOPE,West Bengal,HS0005,source-linked,1.0.0
HR000040,HCLM0010,HAS_CATEGORY,bioactivity,HS0005,source-linked,1.0.0
HR000041,HCLM0011,SUPPORTED_BY,HS0006,HS0006,source-linked,1.0.0
HR000042,HCLM0011,REPORTS_NAME,Haria,HS0006,source-linked,1.0.0
HR000043,HCLM0011,APPLIES_TO_SCOPE,West Bengal,HS0006,source-linked,1.0.0
HR000044,HCLM0011,HAS_CATEGORY,microbiology,HS0006,source-linked,1.0.0
HR000045,HCLM0012,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000046,HCLM0012,REPORTS_NAME,Haria,HS0007,source-linked,1.0.0
HR000047,HCLM0012,APPLIES_TO_SCOPE,West Bengal,HS0007,source-linked,1.0.0
HR000048,HCLM0012,HAS_CATEGORY,microbiology,HS0007,source-linked,1.0.0
HR000049,HCLM0013,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000050,HCLM0013,REPORTS_NAME,Haria,HS0007,source-linked,1.0.0
HR000051,HCLM0013,APPLIES_TO_SCOPE,West Bengal,HS0007,source-linked,1.0.0
HR000052,HCLM0013,HAS_CATEGORY,chemistry,HS0007,source-linked,1.0.0
HR000053,HCLM0014,SUPPORTED_BY,HS0008,HS0008,source-linked,1.0.0
HR000054,HCLM0014,REPORTS_NAME,Haria,HS0008,source-linked,1.0.0
HR000055,HCLM0014,APPLIES_TO_SCOPE,"Bankura, West Bengal",HS0008,source-linked,1.0.0
HR000056,HCLM0014,HAS_CATEGORY,microbiology,HS0008,source-linked,1.0.0
HR000057,HCLM0015,SUPPORTED_BY,HS0009,HS0009,source-linked,1.0.0
HR000058,HCLM0015,REPORTS_NAME,Haria,HS0009,source-linked,1.0.0
HR000059,HCLM0015,APPLIES_TO_SCOPE,West Bengal,HS0009,source-linked,1.0.0
HR000060,HCLM0015,HAS_CATEGORY,microbiology,HS0009,source-linked,1.0.0
HR000061,HCLM0016,SUPPORTED_BY,HS0010,HS0010,source-linked,1.0.0
HR000062,HCLM0016,REPORTS_NAME,Hadiya,HS0010,source-linked,1.0.0
HR000063,HCLM0016,APPLIES_TO_SCOPE,Jharkhand,HS0010,source-linked,1.0.0
HR000064,HCLM0016,HAS_CATEGORY,diet/culture,HS0010,source-linked,1.0.0
HR000065,HCLM0017,SUPPORTED_BY,HS0011,HS0011,source-linked,1.0.0
HR000066,HCLM0017,REPORTS_NAME,Handia,HS0011,source-linked,1.0.0
HR000067,HCLM0017,APPLIES_TO_SCOPE,West Bengal,HS0011,source-linked,1.0.0
HR000068,HCLM0017,HAS_CATEGORY,nutrition,HS0011,source-linked,1.0.0
HR000069,HCLM0018,SUPPORTED_BY,HS0012,HS0012,source-linked,1.0.0
HR000070,HCLM0018,REPORTS_NAME,Handia,HS0012,source-linked,1.0.0
HR000071,HCLM0018,APPLIES_TO_SCOPE,Jharkhand,HS0012,source-linked,1.0.0
HR000072,HCLM0018,HAS_CATEGORY,culture,HS0012,source-linked,1.0.0
HR000073,HCLM0019,SUPPORTED_BY,HS0013,HS0013,source-linked,1.0.0
HR000074,HCLM0019,REPORTS_NAME,rice beer,HS0013,source-linked,1.0.0
HR000075,HCLM0019,APPLIES_TO_SCOPE,"Khunti, Jharkhand",HS0013,source-linked,1.0.0
HR000076,HCLM0019,HAS_CATEGORY,culture,HS0013,source-linked,1.0.0
HR000077,HCLM0020,SUPPORTED_BY,HS0014,HS0014,source-linked,1.0.0
HR000078,HCLM0020,REPORTS_NAME,हड़िया,HS0014,source-linked,1.0.0
HR000079,HCLM0020,APPLIES_TO_SCOPE,Jharkhand,HS0014,source-linked,1.0.0
HR000080,HCLM0020,HAS_CATEGORY,policy,HS0014,source-linked,1.0.0
HR000081,HCLM0021,SUPPORTED_BY,HS0015,HS0015,source-linked,1.0.0
HR000082,HCLM0021,REPORTS_NAME,हड़िया,HS0015,source-linked,1.0.0
HR000083,HCLM0021,APPLIES_TO_SCOPE,Jharkhand,HS0015,source-linked,1.0.0
HR000084,HCLM0021,HAS_CATEGORY,policy,HS0015,source-linked,1.0.0
HR000085,HCLM0022,SUPPORTED_BY,HS0016,HS0016,source-linked,1.0.0
HR000086,HCLM0022,REPORTS_NAME,pachwai,HS0016,source-linked,1.0.0
HR000087,HCLM0022,APPLIES_TO_SCOPE,Jharkhand,HS0016,source-linked,1.0.0
HR000088,HCLM0022,HAS_CATEGORY,law,HS0016,source-linked,1.0.0
HR000089,HCLM0023,SUPPORTED_BY,HS0017,HS0017,source-linked,1.0.0
HR000090,HCLM0023,REPORTS_NAME,Handia; Haria,HS0017,source-linked,1.0.0
HR000091,HCLM0023,APPLIES_TO_SCOPE,India,HS0017,source-linked,1.0.0
HR000092,HCLM0023,HAS_CATEGORY,regulation,HS0017,source-linked,1.0.0
HR000093,HCLM0024,SUPPORTED_BY,HS0018,HS0018,source-linked,1.0.0
HR000094,HCLM0024,REPORTS_NAME,Handia,HS0018,source-linked,1.0.0
HR000095,HCLM0024,APPLIES_TO_SCOPE,Northern Odisha,HS0018,source-linked,1.0.0
HR000096,HCLM0024,HAS_CATEGORY,ethnobotany,HS0018,source-linked,1.0.0
HR000097,HCLM0025,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000098,HCLM0025,REPORTS_NAME,Haria,HS0019,source-linked,1.0.0
HR000099,HCLM0025,APPLIES_TO_SCOPE,West Bengal,HS0019,source-linked,1.0.0
HR000100,HCLM0025,HAS_CATEGORY,ethnobotany,HS0019,source-linked,1.0.0
HR000101,HCLM0026,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000102,HCLM0026,REPORTS_NAME,Haria,HS0019,source-linked,1.0.0
HR000103,HCLM0026,APPLIES_TO_SCOPE,West Bengal,HS0019,source-linked,1.0.0
HR000104,HCLM0026,HAS_CATEGORY,nutrition,HS0019,source-linked,1.0.0
HR000105,HCLM0027,SUPPORTED_BY,HS0023,HS0023,source-linked,1.0.0
HR000106,HCLM0027,REPORTS_NAME,Handia,HS0023,source-linked,1.0.0
HR000107,HCLM0027,APPLIES_TO_SCOPE,"Mayurbhanj, Odisha",HS0023,source-linked,1.0.0
HR000108,HCLM0027,HAS_CATEGORY,chemistry,HS0023,source-linked,1.0.0
HR000109,HCLM0028,SUPPORTED_BY,HS0023,HS0023,source-linked,1.0.0
HR000110,HCLM0028,REPORTS_NAME,Handia,HS0023,source-linked,1.0.0
HR000111,HCLM0028,APPLIES_TO_SCOPE,"Mayurbhanj, Odisha",HS0023,source-linked,1.0.0
HR000112,HCLM0028,HAS_CATEGORY,safety,HS0023,source-linked,1.0.0
HR000113,HCLM0029,SUPPORTED_BY,HS0024,HS0024,source-linked,1.0.0
HR000114,HCLM0029,REPORTS_NAME,Haria,HS0024,source-linked,1.0.0
HR000115,HCLM0029,APPLIES_TO_SCOPE,"North Dinajpur, West Bengal",HS0024,source-linked,1.0.0
HR000116,HCLM0029,HAS_CATEGORY,metabolomics,HS0024,source-linked,1.0.0
HR000117,HCLM0030,SUPPORTED_BY,HS0024,HS0024,source-linked,1.0.0
HR000118,HCLM0030,REPORTS_NAME,Haria,HS0024,source-linked,1.0.0
HR000119,HCLM0030,APPLIES_TO_SCOPE,"North Dinajpur, West Bengal",HS0024,source-linked,1.0.0
HR000120,HCLM0030,HAS_CATEGORY,safety,HS0024,source-linked,1.0.0
HR000121,HCLM0031,SUPPORTED_BY,HS0025,HS0025,source-linked,1.0.0
HR000122,HCLM0031,REPORTS_NAME,Handiya,HS0025,source-linked,1.0.0
HR000123,HCLM0031,APPLIES_TO_SCOPE,Jharkhand,HS0025,source-linked,1.0.0
HR000124,HCLM0031,HAS_CATEGORY,variation,HS0025,source-linked,1.0.0
HR000125,HCLM0032,SUPPORTED_BY,HS0026,HS0026,source-linked,1.0.0
HR000126,HCLM0032,REPORTS_NAME,Handia or Haria,HS0026,source-linked,1.0.0
HR000127,HCLM0032,APPLIES_TO_SCOPE,"Paschim Medinipur, West Bengal",HS0026,source-linked,1.0.0
HR000128,HCLM0032,HAS_CATEGORY,ethnobotany,HS0026,source-linked,1.0.0
HR000129,HCLM0033,SUPPORTED_BY,HS0026,HS0026,source-linked,1.0.0
HR000130,HCLM0033,REPORTS_NAME,Haria,HS0026,source-linked,1.0.0
HR000131,HCLM0033,APPLIES_TO_SCOPE,"Paschim Medinipur, West Bengal",HS0026,source-linked,1.0.0
HR000132,HCLM0033,HAS_CATEGORY,ethnomedicine,HS0026,source-linked,1.0.0
HR000133,HCLM0034,SUPPORTED_BY,HS0027,HS0027,source-linked,1.0.0
HR000134,HCLM0034,REPORTS_NAME,Handia,HS0027,source-linked,1.0.0
HR000135,HCLM0034,APPLIES_TO_SCOPE,Odisha,HS0027,source-linked,1.0.0
HR000136,HCLM0034,HAS_CATEGORY,laboratory,HS0027,source-linked,1.0.0
HR000137,HP0001,REPORTED_IN,Ranu,HS0002,source-linked,1.0.0
HR000138,HP0001,SUPPORTED_BY,HS0002,HS0002,source-linked,1.0.0
HR000139,HP0002,REPORTED_IN,Ranu,HS0002,source-linked,1.0.0
HR000140,HP0002,SUPPORTED_BY,HS0002,HS0002,source-linked,1.0.0
HR000141,HP0003,REPORTED_IN,Ranu,HS0002,source-linked,1.0.0
HR000142,HP0003,SUPPORTED_BY,HS0002,HS0002,source-linked,1.0.0
HR000143,HP0004,REPORTED_IN,Ranu,HS0002,source-linked,1.0.0
HR000144,HP0004,SUPPORTED_BY,HS0002,HS0002,source-linked,1.0.0
HR000145,HP0005,REPORTED_IN,Ranu,HS0002,source-linked,1.0.0
HR000146,HP0005,SUPPORTED_BY,HS0002,HS0002,source-linked,1.0.0
HR000147,HP0006,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000148,HP0006,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000149,HP0007,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000150,HP0007,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000151,HP0008,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000152,HP0008,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000153,HP0009,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000154,HP0009,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000155,HP0010,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000156,HP0010,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000157,HP0011,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000158,HP0011,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000159,HP0012,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000160,HP0012,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000161,HP0013,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000162,HP0013,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000163,HP0014,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000164,HP0014,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000165,HP0015,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000166,HP0015,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000167,HP0016,REPORTED_IN,Bakhar,HS0019,source-linked,1.0.0
HR000168,HP0016,SUPPORTED_BY,HS0019,HS0019,source-linked,1.0.0
HR000169,HM0001,REPORTED_IN_BEVERAGE,Haria,HS0007,source-linked,1.0.0
HR000170,HM0001,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000171,HM0002,REPORTED_IN_BEVERAGE,Haria,HS0007,source-linked,1.0.0
HR000172,HM0002,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000173,HM0003,REPORTED_IN_BEVERAGE,Haria,HS0007,source-linked,1.0.0
HR000174,HM0003,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000175,HM0004,REPORTED_IN_BEVERAGE,Haria,HS0007,source-linked,1.0.0
HR000176,HM0004,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000177,HM0005,REPORTED_IN_BEVERAGE,Haria,HS0007,source-linked,1.0.0
HR000178,HM0005,SUPPORTED_BY,HS0007,HS0007,source-linked,1.0.0
HR000179,HM0006,REPORTED_IN_BEVERAGE,Haria,HS0006,source-linked,1.0.0
HR000180,HM0006,SUPPORTED_BY,HS0006,HS0006,source-linked,1.0.0
HR000181,HM0007,REPORTED_IN_BEVERAGE,Haria,HS0008,source-linked,1.0.0
HR000182,HM0007,SUPPORTED_BY,HS0008,HS0008,source-linked,1.0.0
HR000183,HM0008,REPORTED_IN_BEVERAGE,Haria,HS0008,source-linked,1.0.0
