source_id,authors_or_owner,title,year,venue,source_type,geographic_scope,name_as_reported,source_url,source_quality,doi,access_class,notes,dataset_version,record_status
HS0001,"Kumar, Sudhanshu; Kumari, Bandana",A Check list of medicinal plants used in making Rice beer (Handia) in Jharkhand,2011,Biospectra,Primary/ethnobotanical checklist,Jharkhand,Handia,https://mset-biospectra.org/2012/06/a-check-list-of-medicinal-plants-used-in-making-rice-beer-handia-in-jharkhand/,High,,,,1.0.0,verified_seed
HS0002,"Kujur, Salomy; Kandir, Kunul",Studies on ethnomedicinal plants used in rice-beer (Handia) by 'Ho' tribe of Jharkhand,2015,International Journal for Exchange of Knowledge,Primary ethnobotanical,"West Singhbhum, Jharkhand",Handia,https://jbb.jharkhand.gov.in/wp-content/uploads/2024/12/46.STUDIES-ON-ETHNOMEDICINAL-PLANTS-USED-IN-RICE-BEER-Handia-BY-%E2%80%98HO-TRIBE-OF-JHARKHAND.pdf,High,,,,1.0.0,verified_seed
HS0003,"Kujur, Salomy; Kandir, Kunul",Ethnobotany of starter culture (Ranu) used in production of rice-beer (Handia) by Oraon tribes of Khunti district of Jharkhand,2016,Biospectra,Primary ethnobotanical,"Khunti, Jharkhand",Handia,https://mset-biospectra.org/2016/09/ethnobotany-of-starter-culture-ranu-used-in-production-of-rice-beer-handia-by-oraon-tribes-of-khunti-district-of-jharkhand/,High,,,,1.0.0,verified_seed
HS0004,"Ghosh, K. et al.","Ethnic Preparation of Haria, a Rice-Based Fermented Beverage, in the Province of Lateritic West Bengal, India",2014,Ethnobotany Research and Applications,Primary ethnobotany + laboratory,West Bengal,Haria,https://ethnobotanyjournal.org/index.php/era/article/view/811,High,,,,1.0.0,verified_seed
HS0005,"Ghosh, K. et al.","Microbial, saccharifying and antioxidant properties of an Indian rice based fermented beverage",2015,Food Chemistry,Primary laboratory,West Bengal,Haria,https://doi.org/10.1016/j.foodchem.2014.07.042,High,,,,1.0.0,verified_seed
HS0006,"Ghosh, K. et al.",Role of probiotic Lactobacillus fermentum KKL1 in the preparation of a rice based fermented beverage,2015,Bioresource Technology,Primary laboratory,West Bengal,Haria,https://www.sciencedirect.com/science/article/pii/S0960852415001583,High,,,,1.0.0,verified_seed
HS0007,"Ghosh, K. et al.","Physicochemical Characteristics and Lactic Acid Bacterial Diversity of an Ethnic Rice Fermented Mild Alcoholic Beverage, Haria",2021,Frontiers in Sustainable Food Systems,Primary laboratory,West Bengal,Haria,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.680738/full,High,,,,1.0.0,verified_seed
HS0008,"Ray, Mousumi et al.","Screening of health beneficial microbes with potential probiotic characteristics from the traditional rice-based alcoholic beverage, haria",2017,Acta Biologica Szegediensis,Primary laboratory,"Bankura, West Bengal",Haria,https://www.abs.bibl.u-szeged.hu/index.php/abs/article/view/2913,High,,,,1.0.0,verified_seed
HS0009,Ganguli et al.,A novel probiotic strain of Lactobacillus fermentum TIU19 isolated from Haria beer showing both in vitro antibacterial and antibiofilm properties,2022,Heliyon,Primary laboratory,West Bengal,Haria,https://pmc.ncbi.nlm.nih.gov/articles/PMC9325903/,High,,,,1.0.0,verified_seed
HS0010,Ghosh-Jerath et al.,Traditional Knowledge and Nutritive Value of Indigenous Foods in the Oraon Tribal Community of Jharkhand,2015,PMC-indexed article,Primary community nutrition,Jharkhand,Hadiya,https://pmc.ncbi.nlm.nih.gov/articles/PMC4714238/,High,,,,1.0.0,verified_seed
